title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
"A survey on modern code review: Progresses, challenges and opportunities",https://arxiv.org/abs/2405.18216,"@article{yang2024survey,
  title={A survey on modern code review: Progresses, challenges and opportunities},
  author={Yang, Zezhou and Gao, Cuiyun and Guo, Zhaoqiang and Li, Zhenhao and Liu, Kui and Xia, Xin and Zhou, Yuming},
  journal={arXiv preprint arXiv:2405.18216},
  year={2024}
}",article,"A survey on modern code review: Progresses, challenges and opportunities",2024,en,0,,
Factors influencing code review processes in industry,https://dl.acm.org/doi/abs/10.1145/2950290.2950323,"@inproceedings{baum2016factors,
  title={Factors influencing code review processes in industry},
  author={Baum, Tobias and Liskin, Olga and Niklas, Kai and Schneider, Kurt},
  booktitle={Proceedings of the 2016 24th acm sigsoft international symposium on foundations of software engineering},
  pages={85--96},
  year={2016}
}",inproceedings,Factors influencing code review processes in industry,2016,en,0,,
Investigating code review quality: Do people and participation matter?,https://ieeexplore.ieee.org/abstract/document/7332457/,"@inproceedings{kononenko2015investigating,
  title={Investigating code review quality: Do people and participation matter?},
  author={Kononenko, Oleksii and Baysal, Olga and Guerrouj, Latifa and Cao, Yaxin and Godfrey, Michael W},
  booktitle={2015 IEEE international conference on software maintenance and evolution (ICSME)},
  pages={111--120},
  year={2015},
  organization={IEEE}
}",inproceedings,Investigating code review quality: Do people and participation matter?,2015,en,0,,
An empirical study of design discussions in code review,https://dl.acm.org/doi/abs/10.1145/3239235.3239525,"@inproceedings{zanaty2018empirical,
  title={An empirical study of design discussions in code review},
  author={Zanaty, Farida El and Hirao, Toshiki and McIntosh, Shane and Ihara, Akinori and Matsumoto, Kenichi},
  booktitle={Proceedings of the 12th ACM/IEEE international symposium on empirical software engineering and measurement},
  pages={1--10},
  year={2018}
}",inproceedings,An empirical study of design discussions in code review,2018,en,1,1,0
A review of code reviewer recommendation studies: Challenges and future directions,https://www.sciencedirect.com/science/article/pii/S0167642321000459,"@article{ccetin2021review,
  title={A review of code reviewer recommendation studies: Challenges and future directions},
  author={{\c{C}}etin, H Alperen and Do{\u{g}}an, Emre and T{\""u}z{\""u}n, Eray},
  journal={Science of Computer Programming},
  volume={208},
  pages={102652},
  year={2021},
  publisher={Elsevier}
}",article,A review of code reviewer recommendation studies: Challenges and future directions,2021,en,0,,
Evacrc: Evaluating code review comments,https://dl.acm.org/doi/abs/10.1145/3611643.3616245,"@inproceedings{yang2023evacrc,
  title={Evacrc: Evaluating code review comments},
  author={Yang, Lanxin and Xu, Jinwei and Zhang, Yifan and Zhang, He and Bacchelli, Alberto},
  booktitle={Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={275--287},
  year={2023}
}",inproceedings,Evacrc: Evaluating code review comments,2023,en,1,1,0
"Concerns identified in code review: A fine-grained, faceted classification",https://www.sciencedirect.com/science/article/pii/S0950584922001653,"@article{gunawardena2023concerns,
  title={Concerns identified in code review: A fine-grained, faceted classification},
  author={Gunawardena, Sanuri and Tempero, Ewan and Blincoe, Kelly},
  journal={Information and Software Technology},
  volume={153},
  pages={107054},
  year={2023},
  publisher={Elsevier}
}",article,"Concerns identified in code review: A fine-grained, faceted classification",2023,en,1,1,0
Resolving code review comments with machine learning,https://dl.acm.org/doi/abs/10.1145/3639477.3639746,"@inproceedings{frommgen2024resolving,
  title={Resolving code review comments with machine learning},
  author={Fr{\""o}mmgen, Alexander and Austin, Jacob and Choy, Peter and Ghelani, Nimesh and Kharatyan, Lera and Surita, Gabriela and Khrapko, Elena and Lamblin, Pascal and Manzagol, Pierre-Antoine and Revaj, Marcus and others},
  booktitle={Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice},
  pages={204--215},
  year={2024}
}",inproceedings,Resolving code review comments with machine learning,2024,en,1,1,0
Interactive code review for systematic changes,https://ieeexplore.ieee.org/abstract/document/7194566/,"@inproceedings{zhang2015interactive,
  title={Interactive code review for systematic changes},
  author={Zhang, Tianyi and Song, Myoungkyu and Pinedo, Joseph and Kim, Miryung},
  booktitle={2015 IEEE/ACM 37th IEEE International Conference on Software Engineering},
  volume={1},
  pages={111--122},
  year={2015},
  organization={IEEE}
}",inproceedings,Interactive code review for systematic changes,2015,en,1,1,0
Test-driven code review: an empirical study,https://ieeexplore.ieee.org/abstract/document/8811911/,"@inproceedings{spadini2019test,
  title={Test-driven code review: an empirical study},
  author={Spadini, Davide and Palomba, Fabio and Baum, Tobias and Hanenberg, Stefan and Bruntink, Magiel and Bacchelli, Alberto},
  booktitle={2019 ieee/acm 41st international conference on software engineering (icse)},
  pages={1061--1072},
  year={2019},
  organization={IEEE}
}",inproceedings,Test-driven code review: an empirical study,2019,en,0,,
