title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C5_label
Automated Code Review for Secure Banking Applications,https://www.researchgate.net/profile/Shubham-Metha/publication/390653214_Automated_Code_Review_for_Secure_Banking_Applications_Harnessing_AI_for_Security_Performance_and_Regulatory_Compliance_in_Financial_Software_Engineering/links/67f8724cbfbe974b23a85e00/Automated-Code-Review-for-Secure-Banking-Applications-Harnessing-AI-for-Security-Performance-and-Regulatory-Compliance-in-Financial-Software-Engineering.pdf,"@article{metha2024automated,
  title={Automated Code Review for Secure Banking Applications},
  author={Metha, Shubham},
  year={2024}
}",article,Automated Code Review for Secure Banking Applications,2024,en,1
An Agentic-AI Solution for Intelligent Code Review,https://ieeexplore.ieee.org/abstract/document/11318443/,"@inproceedings{nimraka2025agentic,
  title={An Agentic-AI Solution for Intelligent Code Review},
  author={Nimraka, TMN and Prabhashana, MT and Prainila, R and Randinu, LL and Karunananda, AS and Adhikari, AMAM},
  booktitle={2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI)},
  pages={1--5},
  year={2025},
  organization={IEEE}
}",inproceedings,An Agentic-AI Solution for Intelligent Code Review,2025,en,1
A Source Code Review Method for Discovering Security Flaws Efficiently,https://www.atlantis-press.com/proceedings/icectt-15/25842676,"@inproceedings{zhou2015source,
  title={A Source Code Review Method for Discovering Security Flaws Efficiently},
  author={Zhou, Cheng and Li, Weiwei and Li, Yong and Wang, Chen},
  booktitle={2015 International Conference on Electromechanical Control Technology and Transportation},
  pages={414--419},
  year={2015},
  organization={Atlantis Press}
}",inproceedings,A Source Code Review Method for Discovering Security Flaws Efficiently,2015,en,1
Cybersecurity awareness training for industrial software developers via a serious game for code review,https://aisel.aisnet.org/wi2024/60/,"@article{iosif2024cybersecurity,
  title={Cybersecurity awareness training for industrial software developers via a serious game for code review},
  author={Iosif, Andrei Cristian and Lechner, Ulrike and Pinto-Albuquerque, Maria and Espinha Gasiba, Tiago},
  year={2024}
}",article,Cybersecurity awareness training for industrial software developers via a serious game for code review,2024,en,1
AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines,https://www.researchgate.net/profile/Satheesh-Gopireddy/publication/387441824_AI-Powered_Code_Review_and_Vulnerability_Detection_in_DevOps_Pipelines/links/676e2982117f340ec3da6d2a/AI-Powered-Code-Review-and-Vulnerability-Detection-in-DevOps-Pipelines.pdf,"@article{gopireddy2024ai,
  title={AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines},
  author={Gopireddy, Satheesh Reddy},
  journal={Journal of Scientific and Engineering Research},
  volume={11},
  number={10},
  pages={124--129},
  year={2024}
}",article,AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines,2024,en,1
Code reviewing as methodology for online security studies with developers-a case study with freelancers on password storage,https://www.usenix.org/conference/soups2021/presentation/danilova,"@inproceedings{danilova2021code,
  title={Code reviewing as methodology for online security studies with developers-a case study with freelancers on password storage},
  author={Danilova, Anastasia and Naiakshina, Alena and Rasgauski, Anna and Smith, Matthew},
  booktitle={Seventeenth Symposium on Usable Privacy and Security (SOUPS 2021)},
  pages={397--416},
  year={2021}
}",inproceedings,Code reviewing as methodology for online security studies with developers-a case study with freelancers on password storage,2021,en,1
Enhancing Software Security for Salesforce Applications,https://www.researchgate.net/profile/Akshita-Kadam-2/publication/335520675_Enhancing_Software_Security_for_Salesforce_Applications/links/67a72926207c0c20fa7e3b32/Enhancing-Software-Security-for-Salesforce-Applications.pdf,"@article{kadam2019enhancing,
  title={Enhancing Software Security for Salesforce Applications},
  author={Kadam, Akshita D and Joshi, Seema},
  journal={International Journal for Research in Applied Science and Engineering Technology. https://doi. org/10.22214/ijraset},
  year={2019}
}",article,Enhancing Software Security for Salesforce Applications,2019,en,1
Exploring Code Vulnerabilities through Code Reviews: An Empirical Study on OpenStack Nova,https://digitalcommons.aaru.edu.jo/cgi/viewcontent.cgi?article=1742&context=jsap,"@article{fahmawi2024exploring,
  title={Exploring Code Vulnerabilities through Code Reviews: An Empirical Study on OpenStack Nova},
  author={Fahmawi, Taleb and Nabot, Ahmad and Jebreen, Issam and Al-Qerem, Ahmad},
  journal={Journal of Statistics Applications\& Probability},
  volume={13},
  pages={681--689},
  year={2024}
}",article,Exploring Code Vulnerabilities through Code Reviews: An Empirical Study on OpenStack Nova,2024,en,1
Pentesting and Secure Code Reviews: Strengthening API Security in Modern Software Products,https://sarcouncil.com/2025/02/pentesting-and-secure-code-reviews-strengthening-api-security-in-modern-software-products,"@article{shah2025pentesting,
  title={Pentesting and Secure Code Reviews: Strengthening API Security in Modern Software Products},
  author={Shah, Rushil and Mishra, Gaurav and Suthari, Yugandhar},
  journal={Journal Of Engineering And Computer Sciences},
  volume={4},
  number={2},
  pages={1--9},
  year={2025}
}",article,Pentesting and Secure Code Reviews: Strengthening API Security in Modern Software Products,2025,en,1
Natural Language Insights from Code Reviews that Missed a Vulnerability: A Large Scale Study of Chromium,https://link.springer.com/chapter/10.1007/978-3-319-62105-0_5,"@inproceedings{munaiah2017natural,
  title={Natural Language Insights from Code Reviews that Missed a Vulnerability: A Large Scale Study of Chromium},
  author={Munaiah, Nuthan and Meyers, Benjamin S and Alm, Cecilia O and Meneely, Andrew and Murukannaiah, Pradeep K and Prud¡¯hommeaux, Emily and Wolff, Josephine and Yu, Yang},
  booktitle={International Symposium on Engineering Secure Software and Systems},
  pages={70--86},
  year={2017},
  organization={Springer}
}",inproceedings,Natural Language Insights from Code Reviews that Missed a Vulnerability: A Large Scale Study of Chromium,2017,en,1
