title,url,bibtex,bibtex_type,bibtex_title,bibtex_year,language
"Code review: Veni, vidi, vici",https://ieeexplore.ieee.org/abstract/document/7081825/,"@inproceedings{tymchuk2015code,
  title={Code review: Veni, vidi, vici},
  author={Tymchuk, Yuriy and Mocci, Andrea and Lanza, Michele},
  booktitle={2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)},
  pages={151--160},
  year={2015},
  organization={IEEE}
}",inproceedings,"Code review: Veni, vidi, vici",2015,en
An empirical study of design discussions in code review,https://dl.acm.org/doi/abs/10.1145/3239235.3239525,"@inproceedings{zanaty2018empirical,
  title={An empirical study of design discussions in code review},
  author={Zanaty, Farida El and Hirao, Toshiki and McIntosh, Shane and Ihara, Akinori and Matsumoto, Kenichi},
  booktitle={Proceedings of the 12th ACM/IEEE international symposium on empirical software engineering and measurement},
  pages={1--10},
  year={2018}
}",inproceedings,An empirical study of design discussions in code review,2018,en
Evacrc: Evaluating code review comments,https://dl.acm.org/doi/abs/10.1145/3611643.3616245,"@inproceedings{yang2023evacrc,
  title={Evacrc: Evaluating code review comments},
  author={Yang, Lanxin and Xu, Jinwei and Zhang, Yifan and Zhang, He and Bacchelli, Alberto},
  booktitle={Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={275--287},
  year={2023}
}",inproceedings,Evacrc: Evaluating code review comments,2023,en
"Concerns identified in code review: A fine-grained, faceted classification",https://www.sciencedirect.com/science/article/pii/S0950584922001653,"@article{gunawardena2023concerns,
  title={Concerns identified in code review: A fine-grained, faceted classification},
  author={Gunawardena, Sanuri and Tempero, Ewan and Blincoe, Kelly},
  journal={Information and Software Technology},
  volume={153},
  pages={107054},
  year={2023},
  publisher={Elsevier}
}",article,"Concerns identified in code review: A fine-grained, faceted classification",2023,en
Resolving code review comments with machine learning,https://dl.acm.org/doi/abs/10.1145/3639477.3639746,"@inproceedings{frommgen2024resolving,
  title={Resolving code review comments with machine learning},
  author={Fr{\""o}mmgen, Alexander and Austin, Jacob and Choy, Peter and Ghelani, Nimesh and Kharatyan, Lera and Surita, Gabriela and Khrapko, Elena and Lamblin, Pascal and Manzagol, Pierre-Antoine and Revaj, Marcus and others},
  booktitle={Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice},
  pages={204--215},
  year={2024}
}",inproceedings,Resolving code review comments with machine learning,2024,en
Interactive code review for systematic changes,https://ieeexplore.ieee.org/abstract/document/7194566/,"@inproceedings{zhang2015interactive,
  title={Interactive code review for systematic changes},
  author={Zhang, Tianyi and Song, Myoungkyu and Pinedo, Joseph and Kim, Miryung},
  booktitle={2015 IEEE/ACM 37th IEEE International Conference on Software Engineering},
  volume={1},
  pages={111--122},
  year={2015},
  organization={IEEE}
}",inproceedings,Interactive code review for systematic changes,2015,en
Exploring the impact of code review factors on the code review comment generation,https://link.springer.com/article/10.1007/s10515-024-00469-2,"@article{lu2024exploring,
  title={Exploring the impact of code review factors on the code review comment generation},
  author={Lu, Junyi and Li, Zhangyi and Shen, Chenjie and Yang, Li and Zuo, Chun},
  journal={Automated Software Engineering},
  volume={31},
  number={2},
  pages={71},
  year={2024},
  publisher={Springer}
}",article,Exploring the impact of code review factors on the code review comment generation,2024,en
Code review automation: strengths and weaknesses of the state of the art,https://ieeexplore.ieee.org/abstract/document/10378848/,"@article{tufano2024code,
  title={Code review automation: strengths and weaknesses of the state of the art},
  author={Tufano, Rosalia and Dabi{\'c}, Ozren and Mastropaolo, Antonio and Ciniselli, Matteo and Bavota, Gabriele},
  journal={IEEE Transactions on Software Engineering},
  volume={50},
  number={2},
  pages={338--353},
  year={2024},
  publisher={IEEE}
}",article,Code review automation: strengths and weaknesses of the state of the art,2024,en
Who should review my code? a file location-based code-reviewer recommendation approach for modern code review,https://ieeexplore.ieee.org/abstract/document/7081824/,"@inproceedings{thongtanunam2015should,
  title={Who should review my code? a file location-based code-reviewer recommendation approach for modern code review},
  author={Thongtanunam, Patanamon and Tantithamthavorn, Chakkrit and Kula, Raula Gaikovina and Yoshida, Norihiro and Iida, Hajimu and Matsumoto, Ken-ichi},
  booktitle={2015 IEEE 22nd international conference on software analysis, evolution, and reengineering (SANER)},
  pages={141--150},
  year={2015},
  organization={IEEE}
}",inproceedings,Who should review my code? a file location-based code-reviewer recommendation approach for modern code review,2015,en
Understanding Practitioners' Expectations on Clear Code Review Comments,https://dl.acm.org/doi/abs/10.1145/3728931,"@article{chen2025understanding,
  title={Understanding Practitionersâ Expectations on Clear Code Review Comments},
  author={Chen, Junkai and Li, Zhenhao and Mao, Qiheng and Hu, Xing and Liu, Kui and Xia, Xin},
  journal={Proceedings of the ACM on Software Engineering},
  volume={2},
  number={ISSTA},
  pages={1257--1279},
  year={2025},
  publisher={ACM New York, NY, USA}
}",article,Understanding Practitionersâ Expectations on Clear Code Review Comments,2025,en
Understanding automated code review process and developer experience in industry,https://dl.acm.org/doi/abs/10.1145/3540250.3558950,"@inproceedings{kim2022understanding,
  title={Understanding automated code review process and developer experience in industry},
  author={Kim, Hyungjin and Kwon, Yonghwi and Joh, Sangwoo and Kwon, Hyukin and Ryou, Yeonhee and Kim, Taeksu},
  booktitle={Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={1398--1407},
  year={2022}
}",inproceedings,Understanding automated code review process and developer experience in industry,2022,en
Automatically recommending peer reviewers in modern code review,https://ieeexplore.ieee.org/abstract/document/7328331/,"@article{zanjani2015automatically,
  title={Automatically recommending peer reviewers in modern code review},
  author={Zanjani, Motahareh Bahrami and Kagdi, Huzefa and Bird, Christian},
  journal={IEEE Transactions on Software Engineering},
  volume={42},
  number={6},
  pages={530--543},
  year={2015},
  publisher={IEEE}
}",article,Automatically recommending peer reviewers in modern code review,2015,en
Learning to predict code review completion time in modern code review,https://link.springer.com/article/10.1007/s10664-023-10300-3,"@article{chouchen2023learning,
  title={Learning to predict code review completion time in modern code review},
  author={Chouchen, Moataz and Ouni, Ali and Olongo, Jefferson and Mkaouer, Mohamed Wiem},
  journal={Empirical Software Engineering},
  volume={28},
  number={4},
  pages={82},
  year={2023},
  publisher={Springer}
}",article,Learning to predict code review completion time in modern code review,2023,en
Analyzing gerrit code review parameters with bicho,https://eceasst.org/index.php/eceasst/article/view/2107,"@article{gonzalez2014analyzing,
  title={Analyzing gerrit code review parameters with bicho},
  author={Gonzalez-Barahona, Jesus and Izquierdo-Cortazar, Daniel and Robles, Gregorio and del Castillo, Alvaro},
  journal={Electronic Communications of the EASST},
  volume={65},
  year={2014}
}",article,Analyzing gerrit code review parameters with bicho,2014,en
Leveraging Reviewer Experience in Code Review Comment Generation,https://arxiv.org/abs/2409.10959,"@article{lin2024leveraging,
  title={Leveraging Reviewer Experience in Code Review Comment Generation},
  author={Lin, Hong Yi and Thongtanunam, Patanamon and Treude, Christoph and Godfrey, Michael W and Liu, Chunhua and Charoenwet, Wachiraphan},
  journal={arXiv preprint arXiv:2409.10959},
  year={2024}
}",article,Leveraging Reviewer Experience in Code Review Comment Generation,2024,en
Automated code review comment classification to improve modern code reviews,https://link.springer.com/chapter/10.1007/978-3-031-04115-0_3,"@inproceedings{ochodek2022automated,
  title={Automated code review comment classification to improve modern code reviews},
  author={Ochodek, Miroslaw and Staron, Miroslaw and Meding, Wilhelm and S{\""o}der, Ola},
  booktitle={International Conference on Software Quality},
  pages={23--40},
  year={2022},
  organization={Springer}
}",inproceedings,Automated code review comment classification to improve modern code reviews,2022,en
Enhancing code review for improved code quality with language model-driven approaches,https://yorkspace.library.yorku.ca/items/8e097293-ddf8-422b-b00e-efdb9fa752cc,"@article{rahman2024enhancing,
  title={Enhancing code review for improved code quality with language model-driven approaches},
  author={Rahman, Shadikur},
  year={2024}
}",article,Enhancing code review for improved code quality with language model-driven approaches,2024,en
Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report,https://link.springer.com/article/10.1007/s10664-021-10038-w,"@article{hasan2021using,
  title={Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report},
  author={Hasan, Masum and Iqbal, Anindya and Islam, Mohammad Rafid Ul and Rahman, AJM Imtiajur and Bosu, Amiangshu},
  journal={Empirical Software Engineering},
  volume={26},
  number={6},
  pages={129},
  year={2021},
  publisher={Springer}
}",article,Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report,2021,en
Investigating the Understandability of Review Comments on Code Change Requests,https://ieeexplore.ieee.org/abstract/document/11025749/,"@inproceedings{rahman2025investigating,
  title={Investigating the Understandability of Review Comments on Code Change Requests},
  author={Rahman, Md Shamimur and Codabux, Zadia and Roy, Chanchal K},
  booktitle={2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)},
  pages={539--551},
  year={2025},
  organization={IEEE}
}",inproceedings,Investigating the Understandability of Review Comments on Code Change Requests,2025,en
