title,doi,year,journal,authors,url,bibtex
What makes a code review useful to OpenDev developers? An empirical investigation,10.1007/s10664-023-10411-x,2023,Empirical Software Engineering,Asif Kamal Turzo; Amiangshu Bosu,https://link.springer.com/article/10.1007/s10664-023-10411-x,"@Article{Turzo2023,
author=""Turzo, Asif Kamal
and Bosu, Amiangshu"",
title=""What makes a code review useful to OpenDev developers? An empirical investigation"",
journal=""Empirical Software Engineering"",
year=""2023"",
month=""Nov"",
day=""22"",
volume=""29"",
number=""1"",
pages=""6"",
abstract=""Due to the association of significant efforts, even a minor improvement in the effectiveness of Code Reviews(CR) can incur significant savings for a software development organization."",
issn=""1573-7616"",
doi=""10.1007/s10664-023-10411-x"",
url=""https://doi.org/10.1007/s10664-023-10411-x""
}"
Toward effective secure code reviews: an empirical study of security-related coding weaknesses,10.1007/s10664-024-10496-y,2024,Empirical Software Engineering,Wachiraphan Charoenwet; Patanamon Thongtanunam; ... Christoph Treude,https://link.springer.com/article/10.1007/s10664-024-10496-y,"@Article{Charoenwet2024,
author=""Charoenwet, Wachiraphan
and Thongtanunam, Patanamon
and Pham, Van-Thuan
and Treude, Christoph"",
title=""Toward effective secure code reviews: an empirical study of security-related coding weaknesses"",
journal=""Empirical Software Engineering"",
year=""2024"",
month=""Jun"",
day=""08"",
volume=""29"",
number=""4"",
pages=""88"",
abstract=""Identifying security issues early is encouraged to reduce the latent negative impacts on the software systems. Code review is a widely-used method that allows developers to manually inspect modified code, catching security issues during a software development cycle. However, existing code review studies often focus on known vulnerabilities, neglecting coding weaknesses, which can introduce real-world security issues that are more visible through code review. The practices of code reviews in identifying such coding weaknesses are not yet fully investigated. To better understand this, we conducted an empirical case study in two large open-source projects, OpenSSL and PHP. Based on 135,560 code review comments, we found that reviewers raised security concerns in 35 out of 40 coding weakness categories. Surprisingly, some coding weaknesses related to past vulnerabilities, such as memory errors and resource management, were discussed less often than the vulnerabilities. Developers attempted to address raised security concerns in many cases (39{\%}-41{\%}), but a substantial portion was merely acknowledged (30{\%}-36{\%}), and some went unfixed due to disagreements about solutions (18{\%}-20{\%}). This highlights that coding weaknesses can slip through code review even when identified. Our findings suggest that reviewers can identify various coding weaknesses leading to security issues during code reviews. However, these results also reveal shortcomings in current code review practices, indicating the need for more effective mechanisms or support for increasing awareness of security issue management in code reviews."",
issn=""1573-7616"",
doi=""10.1007/s10664-024-10496-y"",
url=""https://doi.org/10.1007/s10664-024-10496-y""
}"
Intelligent Facial Recognition System for Vehicles,10.1007/978-981-97-3859-5_9,2025,Proceedings of 8th ASRES International Conference on Intelligent Technologies,Hugo Vega-Huerta; Dixon Melgarejo Iturre; ... Jorge Pantoja-Collantes,https://link.springer.com/chapter/10.1007/978-981-97-3859-5_9,"@InProceedings{10.1007/978-981-97-3859-5_9,
author=""Vega-Huerta, Hugo
and Iturre, Dixon Melgarejo
and Zegarra, Peter Picon
and Palomino, Renzo Tinajeros
and Sanchez, Naomi Yupanqui
and Maquen-Ni{\~{n}}o, Gisella Luisa Elena
and Pantoja-Collantes, Jorge"",
editor=""Tripathi, Vipin Kumar
and Arya, Karm Veer
and Rodriguez, Ciro"",
title=""Intelligent Facial Recognition System for Vehicles"",
booktitle=""Proceedings of 8th ASRES International Conference on Intelligent Technologies"",
year=""2025"",
publisher=""Springer Nature Singapore"",
address=""Singapore"",
pages=""97--108"",
abstract=""Currently, there is a vehicle security issue due to the use of unauthorized individuals or vehicle theft. This project aims to develop an intelligent system that utilizes facial recognition technology to identify authorized individuals with access to a vehicle. The methodology employed was Scrum, and the programming language used was Python with the use of the face{\_}recognition library. The main results were that the intelligent system successfully extracts the key facial features and compares them with a dataset containing images of authorized individuals, identifying intruders when there is no match. It sends a message to the WhatsApp of the person configured as the vehicle owner, including the vehicle's location and a photo of the recognized intruder. In conclusion, it can be stated that an intelligent system with facial recognition algorithms allows for the identification of authorized drivers with access to a vehicle, who are previously stored in a dataset."",
isbn=""978-981-97-3859-5""
}"
Bring Your Own Bug: Enabling User-Generated Content in Serious Games for Industrial Cybersecurity and AppSec Education,10.1007/978-3-031-94263-1_17,2025,Innovations for Community Services,Andrei-Cristian Iosif; Ulrike Lechner; Maria Pinto-Albuquerque,https://link.springer.com/chapter/10.1007/978-3-031-94263-1_17,"@InProceedings{10.1007/978-3-031-94263-1_17,
author=""Iosif, Andrei-Cristian
and Lechner, Ulrike
and Pinto-Albuquerque, Maria"",
editor=""Zielinski, Sebastian
and Eichler, Gerald
and Erfurth, Christian
and Fahrnberger, G{\""u}nter"",
title=""Bring Your Own Bug: Enabling User-Generated Content in Serious Games for Industrial Cybersecurity and AppSec Education"",
booktitle=""Innovations for Community Services"",
year=""2025"",
publisher=""Springer Nature Switzerland"",
address=""Cham"",
pages=""289--306"",
abstract=""This work investigates the integration of User Generated Content in a Serious Game for cybersecurity education and training in the industry. This Serious Game deals with security code reviews as part of an industrial software lifecycle, and players are invited to review vulnerable snippets to gain awareness of secure coding. We design and implement a way to include User Generated Content contributions into the Serious Game and we evaluate how this approach in cybersecurity education opens a path for a community-driven initiative to gather and share security knowledge. We develop an open contribution pipeline that allows developers to submit security-relevant code snippets in the Serious Games challenge collection, for players of the game to review, and present the technical design choices behind it: automating the integration of content, acceptance quality gates, and the potential for custom data analytics from recorded player interactions. Furthermore, we explore the voluntary contributors' perceptions of the ease of contribution (with respect to our proposed convention for challenge snippets) and also investigate the characteristics of what is considered an effective educational snippet."",
isbn=""978-3-031-94263-1""
}"
On the Design and Visualization of Connected Vehicle Security Metrics,10.1007/978-3-031-87647-9_31,2025,Proceedings of the Third International Conference on Advances in Computing Research (ACR’25),Guillermo A. Francia III; Eman El-Sheikh,https://link.springer.com/chapter/10.1007/978-3-031-87647-9_31,"@InProceedings{10.1007/978-3-031-87647-9_31,
author=""Francia III, Guillermo A.
and El-Sheikh, Eman"",
editor=""Daimi, Kevin
and Al Sadoon, Abeer"",
title=""On the Design and Visualization of Connected Vehicle Security Metrics"",
booktitle=""Proceedings of the Third International Conference on Advances in Computing Research (ACR'25)"",
year=""2025"",
publisher=""Springer Nature Switzerland"",
address=""Cham"",
pages=""358--374"",
abstract=""The rapid advancement of connected and autonomous vehicles created new challenges for security and safety professionals. The sophistication of vehicle communication systems, located externally and internally, provides an added complexity to the issue. In security parlance, this is an expansion of the attack surface on vehicles. These challenges prompted the enhancement of existing and the development of new safety and security standards initiated by government, industry, and trade organizations. These initiatives clearly underscore the need to examine the state of connected vehicle security and develop effective security metrics. As a major component of continuous improvement, quantitative and qualitative measures must be devised to be able to make a full appreciation of the process. This paper builds upon previous research on connected vehicle security metrics, offers new metrics, and proposes visualization systems to enhance their utilization."",
isbn=""978-3-031-87647-9""
}"
A Practical Guide for Application Security Baselines in the Software Development Process,10.1007/978-3-031-84093-7_23,2025,Advances in ICT Research in the Balkans,Mariya Harseva; Milen Petrov,https://link.springer.com/chapter/10.1007/978-3-031-84093-7_23,"@InProceedings{10.1007/978-3-031-84093-7_23,
author=""Harseva, Mariya
and Petrov, Milen"",
editor=""B{\u{a}}dic{\u{a}}, Costin
and Gu{\v{s}}ev, Marjan
and Iftene, Adrian
and Ivanovi{\'{c}}, Mirjana
and Manolopoulos, Yannis
and Xinogalos, Stelios"",
title=""A Practical Guide for Application Security Baselines in the Software Development Process"",
booktitle=""Advances in ICT Research in the Balkans"",
year=""2025"",
publisher=""Springer Nature Switzerland"",
address=""Cham"",
pages=""327--340"",
abstract=""Through a systematic review of scientific literature, we summarize the most practical approaches for security in the application design phase. Incorporating threat modeling and secure design principles from the outset is critical to mitigating risks. Implementing secure coding guidelines helps avoid common software vulnerabilities, which means that software development teams should receive comprehensive training on secure coding techniques and integrate these practices into their workflows. In our paper we investigate practices, existing tools and literature and extract methodology to be adopted by the teams. One direction is by using IDE plugins - those can increase awareness by providing real-time feedback. Utilizing scores from tools such as Static Application Security Testing (SAST) and Software Composition Analysis (SCA) improves quality process and gives quantitative approach in decision-making during deployment, ensuring vulnerabilities are addressed early. Another direction of the research is embedding secure coding techniques in early software development lifecycle phases which helps to maintain agility in the process without affecting the release lifecycle. The third direction of research is applying the principles of separation of environments which ensure that development, testing, and production stages are isolated, reducing cross-environment contamination risks. On fourth place, we propose using the segregation of duties to further strengthen security by dividing responsibilities to prevent unauthorized access or changes. Security testing during the QA phase should include best and worst-case scenario automation, authorization matrix tests, and Dynamic Application Security Testing (DAST) to uncover potential weaknesses. Finally, assessing infrastructure vulnerability status, whether on a server or serverless level, ensures comprehensive security coverage. It is furthermore proposed to use regular external vulnerability scanning exercises which provide an additional layer of security by identifying potential threats that may have been overlooked internally. By integrating these practices, organizations can maintain a robust security posture while preserving the agility and efficiency of their development processes."",
isbn=""978-3-031-84093-7""
}"
Machine Learning Approaches to Secure Software Development,10.1007/978-981-96-5217-4_28,2025,Innovations in Knowledge Mining: Sustainability for Societal and Industrial Impact,Vijay S. Gulhane; Shanthi Kunche; ... Rakhi Subhash Pagar,https://link.springer.com/chapter/10.1007/978-981-96-5217-4_28,"@InProceedings{10.1007/978-981-96-5217-4_28,
author=""Gulhane, Vijay S.
and Kunche, Shanthi
and Mishra, Shilpi
and Ambhore, Vishal B.
and Visave, Ajay
and Pagar, Rakhi Subhash"",
editor=""Bhateja, Vikrant
and Rana, Muhammad Ehsan
and Tripathy, Hrudaya Kumar
and Senkerik, Roman"",
title=""Machine Learning Approaches to Secure Software Development"",
booktitle=""Innovations in Knowledge Mining: Sustainability for Societal and Industrial Impact"",
year=""2025"",
publisher=""Springer Nature Singapore"",
address=""Singapore"",
pages=""343--358"",
abstract=""Using machine learning (ML) techniques in safe software development has become an important part of making security stronger against new cyber dangers. One important area of focus is vulnerability identification. ML algorithms look at code trends and past data to find possible security holes before attackers can use them. This lowers the risk of attacks before they happen. At the same time, anomaly detection techniques use the power of machine learning to find strange behavior in software systems. These techniques act as early warning systems for possible security breaches or bad behavior. Machine learning is also a key part of improving danger data and finding malware. ML algorithms can find patterns and traits that are typical of harmful code by looking at huge files of known malware samples. This helps find new threats quickly and stop them before they cause damage. ML-based models are also good at improving access control by looking at user behavior patterns and access records. This makes security methods stronger and stops people from getting in without permission. To make sure that ML-driven security solutions are reliable and effective, things like protecting data privacy, making models easier to understand, and stopping threats from other people must be carefully thought out. Regardless, companies can constantly find and fix security risks by using data-driven insights. This makes their software systems more resilient and strong in the face of changing cyber dangers."",
isbn=""978-981-96-5217-4""
}"
Small Mistakes with Big Impacts: A Study on Secure Coding Practices in Java Open Source Projects,10.1007/978-3-031-89350-6_7,2025,Risks and Security of Internet and Systems,Hannes Salin,https://link.springer.com/chapter/10.1007/978-3-031-89350-6_7,"@InProceedings{10.1007/978-3-031-89350-6_7,
author=""Salin, Hannes"",
editor=""Collart-Dutilleul, Simon
and Ouchani, Samir
and Cuppens, Nora
and Cuppens, Fr{\'e}d{\'e}ric"",
title=""Small Mistakes with Big Impacts: A Study on Secure Coding Practices in Java Open Source Projects"",
booktitle=""Risks and Security of Internet and Systems"",
year=""2025"",
publisher=""Springer Nature Switzerland"",
address=""Cham"",
pages=""107--122"",
abstract=""Programmers often reuse code, enhancing their efficiency but also potentially introducing security risks, especially when sourced from online forums or open-source projects. By deploying secure coding best practices the aim is to minimize in-code vulnerabilities, yet their adoption remains inconsistent. This paper investigates the prevalence of key Java secure coding best practices---securing PRNG seeds, using secure PRNGs, and handling passwords securely---in open-source projects. We propose a scoring and penalty model to evaluate repositories based on these practices and provide a comprehensive analysis of their real-world adoption. Our findings are supported by statistical correlation and regression analysis, linking best practices adherence to GitHub repository meta-data. Our study reveals significant gaps in secure coding practices and underscores the need for improved security awareness and implementation among developers, hence we propose a set of recommendations to mitigate these risks. By addressing these issues, we aim to enhance the predictability and security of Java development projects."",
isbn=""978-3-031-89350-6""
}"
On the effects of program slicing for vulnerability detection during code inspection,10.1007/s10664-025-10636-y,2025,Empirical Software Engineering,Aurora Papotti; Katja Tuma; Fabio Massacci,https://link.springer.com/article/10.1007/s10664-025-10636-y,"@Article{Papotti2025,
author=""Papotti, Aurora
and Tuma, Katja
and Massacci, Fabio"",
title=""On the effects of program slicing for vulnerability detection during code inspection"",
journal=""Empirical Software Engineering"",
year=""2025"",
month=""Apr"",
day=""05"",
volume=""30"",
number=""4"",
pages=""93"",
abstract=""Slicing is a fault localization technique that has been proposed to support debugging and program comprehension. Yet, its empirical effectiveness during code inspection by humans has received limited attention. The goal of our study is two-fold. First, we aim to define what it means for a code reviewer to identify the vulnerable lines correctly. Second, we investigate whether reducing the number of to-be-inspected lines by method-level slicing supports code reviewers in detecting security vulnerabilities. We propose a novel approach based on the notion of a {\$}{\$}{\backslash}delta {\$}{\$}-neighborhood (intuitively based on the idea of the context size of the command git  diff) to define correctly identified lines. Then, we conducted a multi-year controlled experiment (2017-2023) in which MSc students attending security courses ({\$}{\$}n=236{\$}{\$}) were tasked with identifying vulnerable lines in original or sliced Java files from Apache Tomcat. We provide perfect seed lines for a slicing algorithm to control for confounding factors. Each treatment differs in the pair (Vulnerability, Original/Sliced) with a balanced design with vulnerabilities from the OWASP Top 10 2017: A1 (Injection), A5 (Broken Access Control), A6 (Security Misconfiguration), and A7 (Cross-Site Scripting). To generate smaller slices for human consumption, we used a variant of intra-procedural thin slicing. We report the results for {\$}{\$}{\backslash}delta = 0{\$}{\$}which corresponds to exactly matching the vulnerable ground truth lines, and {\$}{\$}{\backslash}delta = 3{\$}{\$}which represents the scenario of identifying the vulnerable area. For both cases, we found that slicing helps in `finding something' (the participant has found at least some vulnerable lines) as opposed to `finding nothing'. For the case of {\$}{\$}{\backslash}delta = 0{\$}{\$}analyzing a slice and analyzing the original file are statistically equivalent from the perspective of lines found by those who found something. With {\$}{\$}{\backslash}delta = 3{\$}{\$}slicing helps to find more vulnerabilities compared to analyzing an original file, as we would normally expect. Given the type of population, additional experiments are necessary to be generalized to experienced developers."",
issn=""1573-7616"",
doi=""10.1007/s10664-025-10636-y"",
url=""https://doi.org/10.1007/s10664-025-10636-y""
}"
Computer Security Fundamentals,10.1007/978-3-031-88142-8_1,2025,The Computer Security Workbook,Juan Tapiador,https://link.springer.com/chapter/10.1007/978-3-031-88142-8_1,"@Inbook{Tapiador2025,
author=""Tapiador, Juan"",
title=""Computer Security Fundamentals"",
bookTitle=""The Computer Security Workbook: A Course Companion Resource"",
year=""2025"",
publisher=""Springer Nature Switzerland"",
address=""Cham"",
pages=""1--25"",
abstract=""This chapter presents a collection of problems designed to work on the fundamental concepts and principles of computer security, as commonly introduced in introductory courses or foundational subject modules. The exercises are framed around diverse application scenarios to provide a practical understanding of key topics. Central to all exercises are the three core security properties---confidentiality, integrity, and availability---, which are analyzed through real-world examples and theoretical exercises. The chapter also introduces basic techniques for threat modelling and approaches to mitigation. Additionally, several problems delve into the fundamental security principles outlined in the seminal work of Saltzer and Schroeder [10], offering insights into design strategies that remain highly relevant in modern system security. Together, these exercises aim to foster critical thinking and a deeper comprehension of core security principles."",
isbn=""978-3-031-88142-8"",
doi=""10.1007/978-3-031-88142-8_1"",
url=""https://doi.org/10.1007/978-3-031-88142-8_1""
}"
